service_date,unique_patients,hospital_ammount,non_hospital_ammount,hospital_unique_patients,unique_service_codes,high_cost_proportion,service_code_hhi,mean_ammount,total_racords,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,EMA_7,EMA_14,total_amount_net
2022-01-01,33,0.0,159311.2,0,57,0.2125,0.023125,1991.39,80,522701.2766666667,767077.9314285715,1298460.3307142854,,,159311.2,159311.2,159311.2
2022-01-02,84,26930.0,486975.29,1,158,0.2017291066282421,0.0122333048194071,1480.9950720461095,347,250158.71916666668,767077.9314285715,1298460.3307142854,,,361936.39428571425,349272.3196428572,513905.29
2022-01-03,163,12827.22,882060.12,1,217,0.1911037891268533,0.0132528518193834,1474.278978583196,607,432752.49897435895,767077.9314285715,1298460.3307142854,522701.2766666667,522701.2766666667,592401.6681081081,557699.1101018677,894887.34
2022-01-04,150,28827.86,871642.62,2,219,0.2329749103942652,0.010778381572693,1613.7463799283155,558,744693.5166666666,767077.9314285715,1298460.3307142854,617143.5775,617143.5775,705066.8336,662562.5413388326,900470.48
2022-01-05,176,59126.81,1118811.58,5,267,0.1967418546365914,0.0105841043712037,1476.1132706766916,798,848973.9631955923,767077.9314285715,1298460.3307142854,729302.5399999999,729302.5399999999,860066.9852496799,797023.3116836132,1177938.39
2022-01-06,172,33575.94,966660.06,2,217,0.2754919499105545,0.009955805312963,1789.330948121646,559,1068584.830540293,767077.9314285715,1298460.3307142854,774458.1166666666,774458.1166666666,902696.34999703,844043.1048009876,1000236.0
2022-01-07,133,38472.95,684323.87,1,195,0.2424242424242424,0.0101384906579711,1564.4952813852813,462,1022998.0991003354,767077.9314285715,1298460.3307142854,767077.9314285713,767077.9314285713,850793.2384334718,818493.9418702623,722796.82
2022-01-08,195,28283.91,1239116.97,2,268,0.2120098039215686,0.0101373269896193,1553.1873529411764,816,822833.404773374,556263.3649520789,1298460.3307142854,925376.457142857,829618.2999999999,966532.1040447647,906293.528738541,1267400.88
2022-01-09,191,15504.79,1179325.4,2,242,0.2586989409984871,0.0087681754825243,1807.6099697428133,661,1119226.7799346272,541766.9208562785,1298460.3307142854,1022651.4428571428,870197.3988888889,1028239.9389590903,959419.8352081785,1194830.19
2022-01-10,295,244307.91,1449152.33,12,328,0.2474849094567404,0.007841819528843,1703.682334004024,994,1169629.9068929232,661550.9658369914,1298460.3307142854,1136733.2857142857,952523.683,1204469.097532902,1088041.0752807443,1693460.24
2022-01-11,347,176445.95,1888620.58,10,351,0.2544833475661827,0.0093761782210421,1763.5068573868489,1171,1518852.1003338112,742122.2905836289,1298460.3307142854,1303104.1500000001,1053663.9418181817,1429106.0269201824,1252355.8450749575,2065066.53
2022-01-12,344,122299.43,2018028.28,11,338,0.244672454617206,0.0080278379780836,1689.2878531965273,1267,1882995.7386451026,888522.6822879437,1298460.3307142854,1440588.3385714286,1144219.2558333334,1612727.919395513,1396665.2093315043,2140327.71
