service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,lag_1,EMA_12,total_amount_net
2022-01-02,111,646286.49,179,427,7135423.806666668,673216.49,673216.49
2022-01-09,812,6941940.62,613,4461,2288768.319166667,4186110.945416666,7158560.1
2022-01-16,1475,12753223.96,783,7975,5660162.628974359,7850399.3437875295,13574494.83
2022-01-23,1626,14238375.52,769,8589,11002336.864666665,10099497.25498707,14975443.25
2022-01-30,1604,13769072.15,875,8530,13662019.651542699,11391271.050825335,14853972.0
2022-02-06,1687,15001791.84,842,9398,14457746.081968864,12551381.770513482,16164355.86
2022-02-13,1672,15397149.08,862,9940,15596006.4005276,13392294.340432491,16319814.46
2022-02-20,1745,15265701.41,911,9780,16078618.664572157,13962050.644397926,16122521.39
2022-02-27,1581,13227591.84,851,8661,16107888.635259291,13955313.991418093,13927998.87
2022-03-06,1577,14520319.58,900,9285,14654604.180253241,14300054.937835801,15774531.16
2022-03-13,1553,13721286.34,832,8952,15401226.381455261,14368365.160101641,14673384.03
2022-03-20,1764,16522121.3,875,10524,14915997.234107507,14942595.299218498,17598065.62
2022-03-27,1883,17598747.38,917,11016,16704043.94621095,15632691.444282793,18916933.79
2022-04-03,1947,18288408.86,918,11567,18179304.150510576,16316538.005467724,19648985.01
2022-04-10,1913,18095292.2,962,11579,19159091.458453257,16837126.59437337,19424211.96
2022-04-17,1882,16935418.13,915,10832,19335838.46359035,17043178.421712063,18083976.8
2022-04-24,2026,17251660.43,859,10558,18501264.01473424,17218162.791108403,18114118.21
2022-05-01,1823,15948748.89,874,10199,18243166.810911886,17206998.36822046,17149181.92
2022-05-08,1466,13468802.54,824,8410,17513843.54967646,16740490.12946236,14301550.52
2022-05-15,1658,14283724.61,814,9235,15372314.862611301,16455362.844970658,14952768.06
2022-05-22,1954,17137030.86,1033,11325,15092616.994177029,16804406.877246816,18656192.78
2022-05-29,1975,17326170.22,1028,11497,17468334.184801385,17114861.008211464,18771214.56
2022-06-05,1869,15991925.88,931,10389,18336921.101609685,17103615.444124892,17043332.42
2022-06-12,1730,15160319.24,927,9887,17474528.647200175,16981432.66833813,16323838.84
2022-06-19,1756,15051828.59,920,9877,16707402.109065818,16862614.86593467,16220975.41
2022-06-26,1838,15522600.56,916,10388,16383117.64302181,16843972.37967425,16743013.05
2022-07-03,1795,15126353.98,947,10111,16623047.914340638,16831435.478102826,16763378.37
2022-07-10,1634,13923147.82,825,8884,16716601.551446883,16501623.389596445,14707598.56
2022-07-17,1603,14269821.34,844,9192,15377266.223815609,16322424.34387305,15345997.7
2022-07-24,1685,14909754.16,924,9852,15356420.54127187,16306681.808912367,16220779.37
2022-07-31,1662,14752759.52,926,9524,15932659.760423956,16263393.91421821,16026896.15
2022-08-07,1590,13939657.18,888,9280,15995484.02014132,16107287.03869265,15253537.76
2022-08-14,1585,13819344.78,868,8912,15500853.180047108,15950476.083196431,15092128.44
2022-08-21,1618,14603522.88,924,9704,15228370.020015702,15962588.369209278,16028937.15
2022-08-28,1592,13983696.9,943,9485,15762081.440005234,15867799.917127538,15348243.33
2022-09-04,1653,14816601.68,931,9496,15486189.36666841,15857973.508460283,15804084.39
2022-09-11,1691,15056025.97,921,10106,15698119.382222803,15947566.602197751,16439124.1
2022-09-18,1771,16657519.09,929,11175,16192122.527407601,16241112.872665217,17852277.99
2022-09-25,1815,16699259.77,949,10998,17298892.835802533,16515818.944374187,18024058.07
2022-10-02,1796,15930644.77,932,10275,17782336.325267512,16601416.826417686,17071507.99
2022-10-09,1753,16508282.14,878,10896,17308450.768422503,16726440.099586695,17413206.46
2022-10-16,1812,16900283.84,937,10940,17378287.896140832,16944551.98184263,18142895.4
2022-10-23,1904,17456672.31,940,11486,17888026.232046943,17180750.210388415,18478674.97
2022-10-30,1910,16013305.32,982,11296,18281792.05734898,17339420.308735248,18211443.36
2022-11-06,1721,14993564.15,954,9776,18234892.925782993,17187452.458209906,16352166.17
2022-11-13,1854,16558485.02,943,10834,16979741.755261,17282366.973340914,17804113.07
