service_date,unique_patients,non_hospital_ammount,total_racords,total_amount_net
2022-01-02,111,646286.49,427,673216.49
2022-01-09,812,6941940.62,4461,7158560.1
2022-01-16,1475,12753223.96,7975,13574494.83
2022-01-23,1626,14238375.52,8589,14975443.25
2022-01-30,1604,13769072.15,8530,14853972.0
2022-02-06,1687,15001791.84,9398,16164355.86
2022-02-13,1672,15397149.08,9940,16319814.46
2022-02-20,1745,15265701.41,9780,16122521.39
2022-02-27,1581,13227591.84,8661,13927998.87
2022-03-06,1577,14520319.58,9285,15774531.16
2022-03-13,1553,13721286.34,8952,14673384.03
2022-03-20,1764,16522121.3,10524,17598065.62
2022-03-27,1883,17598747.38,11016,18916933.79
2022-04-03,1947,18288408.86,11567,19648985.01
2022-04-10,1913,18095292.2,11579,19424211.96
2022-04-17,1882,16935418.13,10832,18083976.8
2022-04-24,2026,17251660.43,10558,18114118.21
2022-05-01,1823,15948748.89,10199,17149181.92
2022-05-08,1466,13468802.54,8410,14301550.52
2022-05-15,1658,14283724.61,9235,14952768.06
2022-05-22,1954,17137030.86,11325,18656192.78
2022-05-29,1975,17326170.22,11497,18771214.56
2022-06-05,1869,15991925.88,10389,17043332.42
2022-06-12,1730,15160319.24,9887,16323838.84
2022-06-19,1756,15051828.59,9877,16220975.41
2022-06-26,1838,15522600.56,10388,16743013.05
2022-07-03,1795,15126353.98,10111,16763378.37
2022-07-10,1634,13923147.82,8884,14707598.56
2022-07-17,1603,14269821.34,9192,15345997.7
2022-07-24,1685,14909754.16,9852,16220779.37
2022-07-31,1662,14752759.52,9524,16026896.15
2022-08-07,1590,13939657.18,9280,15253537.76
2022-08-14,1585,13819344.78,8912,15092128.44
2022-08-21,1618,14603522.88,9704,16028937.15
2022-08-28,1592,13983696.9,9485,15348243.33
2022-09-04,1653,14816601.68,9496,15804084.39
2022-09-11,1691,15056025.97,10106,16439124.1
2022-09-18,1771,16657519.09,11175,17852277.99
2022-09-25,1815,16699259.77,10998,18024058.07
2022-10-02,1796,15930644.77,10275,17071507.99
2022-10-09,1753,16508282.14,10896,17413206.46
2022-10-16,1812,16900283.84,10940,18142895.4
2022-10-23,1904,17456672.31,11486,18478674.97
2022-10-30,1910,16013305.32,11296,18211443.36
2022-11-06,1721,14993564.15,9776,16352166.17
2022-11-13,1854,16558485.02,10834,17804113.07
2022-11-20,1920,17450573.15,12338,19663008.35
2022-11-27,2040,19134607.34,12219,20705913.86
2022-12-04,2041,17553156.87,11382,19141424.8
2022-12-11,2060,18332024.99,12020,19966930.15
2022-12-18,1927,16874398.8,10942,18634699.49
2022-12-25,1810,15600906.12,10221,16958452.91
2023-01-01,1416,11308919.15,6830,12132835.99
2023-01-08,874,7902488.37,4724,8337791.08
2023-01-15,1602,14903657.22,9268,15700150.79
2023-01-22,1801,18491012.87,10859,19293365.75
2023-01-29,1930,19019515.35,11571,20306326.4
2023-02-05,2011,19248981.83,12220,21112932.55
2023-02-12,2054,19549897.49,11488,20434283.91
2023-02-19,2025,18795981.36,11208,19733444.02
2023-02-26,1740,15613595.41,9404,16520755.5
2023-03-05,2006,19267443.27,11712,20468236.95
2023-03-12,1961,18313468.47,11330,19412991.72
2023-03-19,2168,20565376.68,13287,22851536.95
2023-03-26,2153,20194053.09,11916,21252085.1
2023-04-02,2114,20545064.79,12294,21506513.47
2023-04-09,2222,20785059.94,12571,22033914.69
2023-04-16,2034,18854140.05,11842,20551489.76
2023-04-23,2060,18550175.24,11497,20178610.73
2023-04-30,1869,16457686.06,10241,17692674.13
2023-05-07,1481,13542636.85,8731,14564040.86
2023-05-14,1533,13423256.89,8635,14592695.91
2023-05-21,1748,15905334.37,10126,17726040.42
2023-05-28,1846,16952779.12,10151,18185370.8
2023-06-04,1921,17588511.76,10312,18510676.16
2023-06-11,1767,16169802.85,10415,17690314.88
2023-06-18,1806,16359913.65,10050,17658342.96
2023-06-25,1782,16786312.39,10336,18208126.09
2023-07-02,1835,17032697.87,10292,18304339.85
2023-07-09,1707,15937228.47,9861,17282546.36
2023-07-16,1688,16774240.21,10502,18190965.21
2023-07-23,1668,16918003.47,10497,17989095.52
2023-07-30,1752,16098127.16,9792,17384132.86
2023-08-06,1716,16131033.81,9522,17340715.95
2023-08-13,1740,16542826.91,9963,17742161.43
2023-08-20,1768,17716948.64,10381,18734893.85
2023-08-27,1804,17646878.92,10901,19093919.58
2023-09-03,1917,17667895.02,10391,18605273.83
2023-09-10,1895,17806145.18,11042,19305952.86
2023-09-17,1960,18160883.66,10643,19383253.8
2023-09-24,1958,18338422.07,11120,19634047.41
2023-10-01,1959,18130183.24,10848,19428554.78
2023-10-08,2005,19393328.87,11215,20564814.27
2023-10-15,1969,18273074.16,10637,19409007.41
2023-10-22,2135,20983638.75,11680,21700822.77
2023-10-29,2056,19247679.35,11276,20561336.76
2023-11-05,1939,17513151.77,10340,18546893.63
2023-11-12,2156,19788709.07,12265,21321440.74
2023-11-19,2197,20764028.04,11911,21940636.03
2023-11-26,2246,20548979.69,11648,21674302.98
2023-12-03,2346,22237412.36,12974,24063550.95
2023-12-10,2327,21953169.81,12700,23455602.89
2023-12-17,2296,20005890.98,11625,21473685.5
2023-12-24,2138,19494912.54,11233,20677185.75
2023-12-31,1830,16066752.58,9127,16965038.46
